id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
86cef923-fdad-406f-9393-94da58346ad0,earle.condos,available,61.98,72.98,medium,low,5,namecheap,,,26/09/2026 03:17
deef446a-b657-41bc-af54-056560734ae4,legible.condos,available,58.99,58.99,high,low,7,namesilo,,,22/08/2026 22:59
e5911991-97f3-4b6e-9b95-ecbcc0a175c6,tripping.condos,available,58.99,58.99,high,low,8,namesilo,,,23/08/2026 05:23
2a4695d1-005c-4ef7-badf-6899d1f1fcb2,sullen.condos,available,58.99,58.99,medium,low,6,namesilo,,,20/08/2026 15:06
c67915b9-dbd9-43cc-80fb-99dc618b9340,victories.condos,available,61.98,72.98,medium,low,9,namecheap,,,18/09/2026 09:23
075f646e-000c-4478-bdd5-5d0ff2400196,kevin.condos,available,61.98,72.98,high,medium,5,namecheap,,,25/09/2026 18:28
40514af1-2541-47d8-a87b-0d288dc5753f,filled.condos,available,61.98,72.98,high,low,6,namecheap,,,24/09/2026 18:13
47ff3764-6e7c-4ca9-8e2e-87792b18b395,instate.condos,available,71.99,,medium,low,8,name.com,,,
3528dc92-6bb6-4527-86b6-5542d0afd33b,batrachian.condos,available,58.99,58.99,medium,low,10,namesilo,,,05/08/2026 20:53
9acb7caa-b151-4029-a38d-ae23639727d7,introduced.condos,available,58.99,58.99,high,low,10,namesilo,,,
f7c53320-5c60-427d-a279-9887699387a6,ordinance.condos,available,58.99,58.99,high,low,9,namesilo,,,09/09/2026 13:13
af144c16-cd67-4889-93f9-910f4ce8a046,eerie.condos,available,58.99,58.99,high,low,5,namesilo,,,15/08/2026 12:43
c2122627-fb26-479a-9713-8a12b7087f3d,dismount.condos,available,58.99,58.99,high,low,8,namesilo,,,24/09/2026 22:48
10c32430-4501-4095-918f-c5ebb60e60dc,gage.condos,available,61.98,72.98,high,low,4,namecheap,,,18/08/2026 19:51
4daac3da-4260-4cd5-bf9e-8fb15b1879df,performance.condos,available,71.99,75.99,high,low,11,name.com,,,25/09/2026 16:44
cb85594e-94db-4b33-b192-1cbcda282d29,asparagus.condos,available,58.99,58.99,high,low,9,namesilo,,,20/09/2026 14:40
c6a838a3-67ef-48bc-ad6f-60bb93634da3,regulatory.condos,available,58.99,58.99,high,low,10,namesilo,,,09/09/2026 13:17
a9db99d5-d328-43ef-97e2-337ce5ee7e16,unprepared.condos,available,58.99,58.99,medium,low,10,namesilo,,,12/09/2026 17:22
164f100d-9c07-4dd2-822c-89168ea45381,associate.condos,available,58.99,58.99,high,low,9,namesilo,,,07/08/2026 06:50
693f0f71-fb8f-4da6-958d-5bac49fef360,stoutness.condos,available,58.99,58.99,medium,low,9,namesilo,,,04/09/2026 22:03
589f34d8-2d3d-4490-bcd3-a5d68cbbe91f,pardon.condos,available,58.99,58.99,high,low,6,namesilo,,,
d37b4a4c-cd74-42c5-9891-f426ae66d88c,arbalest.condos,available,58.99,58.99,medium,low,8,namesilo,,,20/09/2026 00:33
42e563f8-111d-4c4b-be0e-44e09ef1581b,cannoneer.condos,available,58.99,58.99,medium,low,9,namesilo,,,20/09/2026 11:44
f464c197-53ee-4652-bc9b-cd2f5d36ea10,aspirer.condos,available,58.99,58.99,medium,low,7,namesilo,,,07/08/2026 05:12
67aef659-01e6-494b-96e8-6855f7196a51,jones.condos,available,58.99,58.99,high,low,5,namesilo,,,25/09/2026 00:23
2135ebbc-922f-46c8-a1bb-ae316cbab428,trouper.condos,available,58.99,58.99,medium,low,7,namesilo,,,22/09/2026 06:54
a6f4851b-b491-4a25-98f5-df2b35a93799,provisions.condos,available,58.99,58.99,high,low,10,namesilo,,,08/09/2026 08:15
5a7bfa5c-20a7-40ec-8fd5-09b400898ac3,argiope.condos,available,58.99,58.99,medium,low,7,namesilo,,,20/09/2026 04:25
1c14a976-64e6-4990-bc68-f55135fe0711,exhusband.condos,available,58.99,58.99,medium,low,10,namesilo,,,17/08/2026 15:21
4ac21791-ba80-4b61-8e93-af40b5dbb0e8,erstwhile.condos,available,58.99,58.99,high,low,9,namesilo,,,17/08/2026 13:05
72800a59-da61-43a0-961f-9d0339016079,factitious.condos,available,61.98,72.98,medium,low,10,namecheap,,,17/08/2026 20:27
e216c89e-be18-41de-9a07-af1ff1e100c0,spirally.condos,available,61.98,72.98,medium,low,8,namecheap,,,16/09/2026 06:13
82bd0e9b-d54b-4e53-998b-691ad6f4ec5f,amia.condos,available,61.98,72.98,high,low,4,namecheap,,,18/09/2026 21:14
edd1f681-8738-49a1-97f5-55f921cba548,hanoverian.condos,available,58.99,58.99,high,low,10,namesilo,,,20/08/2026 23:44
e847d352-eeef-45f7-80b1-236fd9284d0d,understand.condos,available,58.99,58.99,high,low,10,namesilo,,,
fd3fdd83-0309-4d40-8144-d3abc8db2f83,weddings.condos,available,61.98,72.98,high,low,8,namecheap,,,20/09/2026 01:47
55640305-c983-458a-8bf3-d98872238d75,almond.condos,available,58.99,58.99,high,low,6,namesilo,,,
2bbba51e-d3d1-442a-b278-eacdf46ca42c,costs.condos,available,58.99,58.99,high,low,5,namesilo,,,
c080699a-e5b2-4fe9-8c60-8fa4a43d3349,angelim.condos,available,58.99,58.99,medium,low,7,namesilo,,,19/09/2026 03:59
c13c4cf3-41da-4858-9270-4d4c45bd6e32,classic.condos,available,58.99,58.99,high,low,7,namesilo,,,12/08/2026 09:43
9809849e-ba13-42d6-b2e6-9a7e57a4be4e,diskette.condos,available,58.99,58.99,high,low,8,namesilo,,,18/08/2026 08:53
6da142b6-d5d0-42b0-a51d-aa1751045235,western.condos,available,58.99,58.99,high,low,7,namesilo,,,13/09/2026 10:56
8ab668c6-d068-44b3-af92-86264f8c577d,later.condos,available,58.99,58.99,high,low,5,namesilo,,,21/09/2026 22:11
e839701e-e41e-4831-9417-67963b85a851,moi.condos,available,58.99,58.99,high,low,3,namesilo,,,
a19a5830-eb51-4ba6-894a-e3ee6f66026a,adhere.condos,available,61.98,72.98,high,low,6,namecheap,,,23/09/2026 17:04
f64dd61f-8c2d-425f-8a26-aeabf44cfaf4,semisolid.condos,available,58.99,58.99,medium,low,9,namesilo,,,10/09/2026 03:26
029071d0-f6d2-4463-9ee9-5c2ea73b2a1e,skype.condos,available,,,high,medium,5,,,,
1735281c-146f-43a8-b5ae-39c03db4efa7,turbulent.condos,available,58.99,58.99,medium,low,9,namesilo,,,14/08/2026 12:26
136b7898-d434-418f-83da-5c37b2f1ea8d,defense.condos,available,71.99,,high,low,7,name.com,,,
d888b683-fb03-42fb-9774-dd644d8931ef,farrell.condos,available,58.99,58.99,medium,low,7,namesilo,,,25/09/2026 05:20
47e80b4a-862d-46e3-9dd4-15c45e2cf7d0,fling.condos,available,58.99,58.99,high,low,5,namesilo,,,
d475cf69-2382-4fb4-be61-04fb517642e4,wetter.condos,available,58.99,58.99,high,low,6,namesilo,,,22/09/2026 23:07
d4d067a3-705b-4f1e-8e69-eb3726f23b2a,grandparent.condos,available,58.99,58.99,high,low,11,namesilo,,,19/09/2026 04:27
03945a9c-cf78-4f9d-a635-45fdf221f046,tragedy.condos,available,58.99,58.99,medium,low,7,namesilo,,,24/09/2026 11:39
0895a65a-ad63-4faa-8a16-7428af0cd176,solidified.condos,available,58.99,58.99,medium,low,10,namesilo,,,10/09/2026 13:41
fd977cc5-828b-4e1f-bd32-a77a76938d04,blades.condos,available,71.99,,high,low,6,name.com,,,
63cb16be-45de-4146-85b5-f36711eb735c,collars.condos,available,58.99,58.99,medium,low,7,namesilo,,,20/09/2026 09:10
fc528182-7bb5-4142-8230-4f6141d9ba4e,dorm.condos,available,58.99,58.99,high,low,4,namesilo,,,24/09/2026 23:35
92c2ed89-8717-4370-9bc1-0e9d142420a2,solitary.condos,available,58.99,58.99,high,low,8,namesilo,,,24/08/2026 08:55
92d26c4d-3fa0-4bee-8efc-ad11800b1ee8,probable.condos,available,58.99,58.99,high,low,8,namesilo,,,
0c6d4577-a415-4f35-8530-e512dcb7cfea,munition.condos,available,58.99,58.99,high,low,8,namesilo,,,20/09/2026 07:44
0ecf97ae-17e0-453a-ac98-6da094cc052f,ban.condos,available,58.99,58.99,high,low,3,namesilo,,,18/08/2026 11:10
c7a9cfed-034a-48ea-a370-994afdf1dfc0,faraway.condos,available,58.99,58.99,high,low,7,namesilo,,,17/08/2026 22:14
3a6e8755-ed84-4995-bf82-0ccf5b9f4763,dave.condos,available,58.99,58.99,high,low,4,namesilo,,,
f01e6514-0d29-456c-9405-51497e592ae6,dances.condos,available,58.99,58.99,high,low,6,namesilo,,,
c96f8809-d1a2-4651-9b9c-f1388dd38bc4,sodomy.condos,available,58.99,58.99,medium,low,6,namesilo,,,19/09/2026 01:34
8264c613-c977-4da9-8d23-8ed57281780a,cornish.condos,available,58.99,58.99,high,low,7,namesilo,,,13/08/2026 01:42
4991c641-21e3-4d06-8631-e51282681789,actin.condos,available,58.99,58.99,medium,low,5,namesilo,,,17/09/2026 04:37
5e5e831a-3106-47ff-9448-b9f5d05ffa15,salmagundi.condos,available,58.99,58.99,medium,low,10,namesilo,,,25/08/2026 08:22
526d8ed4-c3da-4be1-9c49-7a6ff2d7f988,boyle.condos,available,58.99,58.99,high,low,5,namesilo,,,25/09/2026 02:02
1c7375b8-d313-4d27-8116-0c54f4e63dbc,pratt.condos,available,58.99,58.99,high,low,5,namesilo,,,25/09/2026 12:12
ee1c1923-9b11-4519-a15d-4c9e4b2d7833,barricade.condos,available,58.99,58.99,high,low,9,namesilo,,,22/09/2026 08:32
c475284a-70f3-407f-b5f4-13c23967c030,jimmy.condos,available,58.99,58.99,high,low,5,namesilo,,,
8355b6bc-3f38-4f2a-86d6-4159cc43af42,aerides.condos,available,58.99,58.99,medium,low,7,namesilo,,,17/09/2026 12:51
717ddb27-7d52-4d93-817a-6f1dac0417cc,basely.condos,available,58.99,58.99,medium,low,6,namesilo,,,13/09/2026 23:35
7727b0d8-c899-4734-8e2e-05476374bf2f,fissile.condos,available,58.99,58.99,medium,low,7,namesilo,,,18/08/2026 05:34
189846f0-eaba-4f2c-99a0-0fdc6070a796,aphakia.condos,available,58.99,58.99,medium,low,7,namesilo,,,19/09/2026 16:51
607bb5fc-4b0b-49e0-9b84-0667fb61ff78,adust.condos,available,58.99,58.99,medium,low,5,namesilo,,,
70c20007-87a2-46ce-9f58-98c9cf1f1623,conk.condos,available,61.98,72.98,medium,low,4,namecheap,,,17/08/2026 21:08
eb0763a0-cf22-43e7-a86f-be6b5b29c0b3,productive.condos,available,61.98,72.98,high,low,10,namecheap,,,18/08/2026 21:26
bc62a78a-55e6-425f-86f7-7f4825595d9a,bakunin.condos,available,61.98,72.98,medium,low,7,namecheap,,,21/09/2026 20:26
546e8ef4-dcee-4d6c-9849-1297d6e6e814,taxation.condos,available,58.99,58.99,high,low,8,namesilo,,,
2a012d7d-366d-45cc-b994-519b9266f636,sundress.condos,available,71.99,,high,low,8,name.com,,,
df5dcfed-b137-48e0-bedd-6e65a87f2d64,ferric.condos,available,58.99,58.99,medium,low,6,namesilo,,,18/08/2026 02:07
4fb2587c-ecda-4089-99e3-a01d04509d66,marion.condos,available,61.98,72.98,high,low,6,namecheap,,,25/09/2026 14:37
32cf11c6-793e-4a48-a784-023a6ad7dfb7,herds.condos,available,61.98,72.98,medium,low,5,namecheap,,,19/09/2026 20:40
e1fe3ea8-9625-4dc3-bb2f-7b3d83dd8e32,darter.condos,available,61.98,72.98,medium,low,6,namecheap,,,19/09/2026 08:19
1625fa52-eb55-4c40-82a2-27951ea66a10,skint.condos,available,58.99,58.99,medium,low,5,namesilo,,,11/08/2026 05:21
0a165886-bafa-45d1-accd-813c57e1417d,doll.condos,available,58.99,58.99,high,low,4,namesilo,,,25/09/2026 04:37
07d24b07-651a-4025-b309-3e86f6502ec6,puddle.condos,available,58.99,58.99,high,low,6,namesilo,,,13/09/2026 09:43
28bb3e45-1f1e-475a-ac33-d40df7828ee6,audiology.condos,available,58.99,58.99,high,low,9,namesilo,,,21/09/2026 02:56
04268895-a710-4e74-969b-d7e19fb9bd78,formula.condos,available,61.98,72.98,high,low,7,namecheap,,,03/09/2026 21:16
1457bc28-67a1-4e09-b3c2-f392db495ce6,bayes.condos,available,61.98,72.98,high,low,5,namecheap,,,22/09/2026 18:03
dce07fd1-d4f9-4f2f-8a77-d1d4eb3dacba,inevitably.condos,available,58.99,58.99,medium,low,10,namesilo,,,15/09/2026 08:09
6bbf4c80-51fd-4165-82c1-39b08e16c5b0,agnatha.condos,available,61.98,72.98,medium,low,7,namecheap,,,17/09/2026 18:31
e34de14b-527c-442e-a8d6-5b957c601d22,avoid.condos,available,58.99,58.99,high,low,5,namesilo,,,13/09/2026 06:44
6876e6fe-6387-4d79-9462-3cb8d60a9209,sublingual.condos,available,58.99,58.99,medium,low,10,namesilo,,,11/09/2026 00:14
03295fc5-7138-49eb-9375-48b9fbc000be,nickelodeon.condos,available,71.99,,high,low,11,name.com,,,
